tanggal,data
2019-01-06,13.0
2019-01-13,14.428571428571429
2019-01-20,15.857142857142858
2019-01-27,15.0
2019-02-03,14.285714285714286
2019-02-10,13.714285714285714
2019-02-17,14.428571428571429
2019-02-24,9.285714285714286
2019-03-03,17.142857142857142
2019-03-10,12.714285714285714
2019-03-17,15.285714285714286
2019-03-24,17.0
2019-03-31,12.285714285714286
2019-04-07,10.714285714285714
2019-04-14,16.428571428571427
2019-04-21,11.428571428571429
2019-04-28,12.428571428571429
2019-05-05,12.0
2019-05-12,14.857142857142858
2019-05-19,13.285714285714286
2019-05-26,11.428571428571429
2019-06-02,8.571428571428571
2019-06-09,8.714285714285714
2019-06-16,10.428571428571429
2019-06-23,13.857142857142858
2019-06-30,15.714285714285714
2019-07-07,13.285714285714286
2019-07-14,16.142857142857142
2019-07-21,16.0
2019-07-28,15.857142857142858
2019-08-04,13.857142857142858
2019-08-11,14.142857142857142
2019-08-18,15.857142857142858
2019-08-25,14.571428571428571
2019-09-01,12.0
2019-09-08,15.571428571428571
2019-09-15,14.571428571428571
2019-09-22,12.857142857142858
2019-09-29,13.714285714285714
2019-10-06,16.142857142857142
2019-10-13,15.857142857142858
2019-10-20,15.285714285714286
2019-10-27,13.714285714285714
2019-11-03,12.285714285714286
2019-11-10,14.857142857142858
2019-11-17,15.571428571428571
2019-11-24,11.571428571428571
2019-12-01,14.714285714285714
2019-12-08,14.0
2019-12-15,15.0
2019-12-22,15.285714285714286
2019-12-29,14.0
2020-01-05,15.0
2020-01-12,15.571428571428571
2020-01-19,18.428571428571427
2020-01-26,15.428571428571429
2020-02-02,16.142857142857142
2020-02-09,15.571428571428571
2020-02-16,15.857142857142858
2020-02-23,15.428571428571429
2020-03-01,13.857142857142858
2020-03-08,14.571428571428571
2020-03-15,14.142857142857142
2020-03-22,12.857142857142858
2020-03-29,5.857142857142857
2020-04-05,7.142857142857143
2020-04-12,9.142857142857142
2020-04-19,9.142857142857142
2020-04-26,6.857142857142857
2020-05-03,8.428571428571429
2020-05-10,10.428571428571429
2020-05-17,9.428571428571429
2020-05-24,6.285714285714286
2020-05-31,8.857142857142858
2020-06-07,8.571428571428571
2020-06-14,6.714285714285714
2020-06-21,6.285714285714286
2020-06-28,8.285714285714286
2020-07-05,5.142857142857143
2020-07-12,8.0
2020-07-19,7.0
2020-07-26,6.857142857142857
2020-08-02,5.285714285714286
2020-08-09,7.285714285714286
2020-08-16,7.285714285714286
2020-08-23,6.571428571428571
2020-08-30,8.857142857142858
2020-09-06,8.285714285714286
2020-09-13,8.0
2020-09-20,6.714285714285714
2020-09-27,6.571428571428571
2020-10-04,6.571428571428571
2020-10-11,8.0
2020-10-18,8.714285714285714
2020-10-25,5.0
2020-11-01,6.428571428571429
2020-11-08,11.428571428571429
2020-11-15,8.714285714285714
2020-11-22,9.571428571428571
2020-11-29,7.857142857142857
